Herbivore,PlantID_Induced,LfWt_Initial_Induced,LfWt_Final_Induced,PlantID_Const,LfWt_Initial_Const,LfWt_Final_Const,Range,Pair
Velvetbean,W0429,0.0659,0.0522,W0584,0.0949,0.0662,Invasive,1
Velvetbean,W0454,0.0485,0.0306,W0348,0.0385,0.0135,Invasive,2
Velvetbean,W0280,0.0604,0.0208,W0358,0.0668,0.0223,Invasive,3
Velvetbean,W0470,0.0776,0.0498,W0363,0.0707,0.0494,Invasive,4
Velvetbean,W0244,0.0526,0.0257,W0351,0.0481,0.0201,Invasive,5
Velvetbean,W0361,0.0556,0.0346,W0460,0.0459,0.0324,Invasive,6
Velvetbean,W0300,0.0513,0.0065,W0594,0.0952,0.0139,Invasive,7
Velvetbean,W0301,0.0372,0.0112,W0350,0.0544,0.0013,Invasive,8
Velvetbean,W0303,0.064,0.0581,W0347,0.0861,0.0523,Invasive,9
Velvetbean,W0326,0.1415,0.1225,W0587,0.1054,0.0706,Invasive,10
Velvetbean,W0615,0.0373,0.0171,W0581,0.0641,0.03,Invasive,11
Velvetbean,W0622,0.0281,0.0237,W0562,0.0698,0.0308,Invasive,12
Velvetbean,W0644,0.0876,0.0701,W0595,0.0945,0.0768,Invasive,13
Velvetbean,W0649,0.0214,0.0175,W0571,0.0697,0.0515,Invasive,14
Velvetbean,W0652,0.0759,0.0552,W0584,0.0571,0.0427,Invasive,15
Velvetbean,W0527,0.0567,0.0542,W0486,0.0453,0.0375,Invasive,16
Velvetbean,W0529,0.0388,0.0379,W0500,0.0483,0.0226,Invasive,17
Velvetbean,W0530,0.0344,0.0176,W0501,0.0564,0.0426,Invasive,18
Velvetbean,W0070,0.0324,0.014,W0506,0.0498,0.031,Invasive,19
Velvetbean,W0073,0.1011,0.0803,W0511,0.064,0.0396,Invasive,20
Velvetbean,W0444,0.0325,0.0099,W0597,0.0443,0.0191,Native,21
Velvetbean,W0431,0.1276,0.1102,W0844,0.1019,0.0762,Native,22
Velvetbean,W0471,0.0392,0.0236,W0353,0.0769,0.0291,Native,23
