AssayID,Herbivore,CatStage,PlantID_Invasive,Genotype_Invasive,Population_Invasive,LfWt_Initial_Invasive,LfWt_Final_Invasive,PlantID_Native,Genotype_Native,Population_Native,LfWt_Initial_Native,LfWt_Final_Native,Pair
V001,Velvetbean,Caterpillar,W0429,MEL09,MEL,0.07287,0.0712,W0431,HIG02-02,HIG,0.07328,0.0687,1
V003,Velvetbean,Caterpillar,W0258,STA05,STA,0.08407,0.0672,W0471,AUR09,AUR,0.05903,0.0324,2
V004,Velvetbean,Caterpillar,W0327,SAN30-02,SAN,0.06208,0.0562,W0256,DEB07,DEB,0.06378,0.0429,3
V005,Velvetbean,Caterpillar,W0822,DCR07,DCR,0.07194,0.0655,W0279,CRG06,CRG,0.06496,0.029,4
V006,Velvetbean,Caterpillar,W0443,MAG74,MAG,0.09726,0.0896,W0444,MUSs1-03,MUS,0.03098,0.0287,5
V007,Velvetbean,Caterpillar,W0238,ARC08,ARC,0.09335,0.085,W0459,SAN09-03,SAN,0.0829,0.0762,6
V009,Velvetbean,Caterpillar,W0809,MLR07,MLR,0.05033,0.0153,W0265,AZN06,AZN,0.0495,0.0057,7
V010,Velvetbean,Caterpillar,W0454,ARC05-01,ARC,0.05672,0.0151,W0453,CAR06-01,CAR,0.08154,0.031,8
V011,Velvetbean,Caterpillar,W0241,MEL11,MEL,0.04373,0.0063,W0462,FUSB1,FUS,0.06698,0.0254,9
V012,Velvetbean,Caterpillar,W0828,STA06,STA,0.12589,0.087,W0808,PI319029,Spain,0.04819,0.0333,10
V013,Velvetbean,Caterpillar,W0270,PEA13,PEA,0.06286,0.0468,W0239,SAN11-02,SAN,0.10174,0.0811,11
V014,Velvetbean,Caterpillar,W0813,PAL10,PAL,0.07211,0.0683,W0269,W65435,Algeria,0.1036,0.0927,12
V015,Velvetbean,Caterpillar,W0832,EMO07,EMO,0.06855,0.06,W0814,RTM08,RTM,0.04852,0.041,13
V016,Velvetbean,Caterpillar,W0463,BHI33-04,BHI,0.0545,0.047,W0455,FURc1-03,FUR,0.08333,0.0729,14
V017,Velvetbean,Caterpillar,W0244,EMO06,EMO,0.04435,0.0442,W0464,DEB04,DEB,0.05262,0.0487,15
V018,Velvetbean,Caterpillar,W0280,SDS1-06,SDS,0.05239,0.0088,W0245,ALT06,ALT,0.0252,0.0239,16
V019,Velvetbean,Caterpillar,W0470,MLR04,MLR,0.12126,0.1123,W0456,MIRc1-04,MIR,0.11707,0.1124,17
V022,Velvetbean,Caterpillar,W0818,MEL12,MEL,0.03512,0.0194,W0278,AUR12,AUR,0.15844,0.0509,18
V023,Velvetbean,Caterpillar,W0845,SDS1-07,SDS,0.05576,0.0519,W0819,DEB08,DEB,0.08043,0.0742,19
V024,Velvetbean,Caterpillar,W0843,PEA14,PEA,0.02059,0.0164,W0816,SAN12-01,SAN,0.10479,0.0585,20
V025,Velvetbean,Caterpillar,W0817,BHI33-07,BHI,0.07887,0.0654,W0271,HIG20-01,HIG,0.10439,0.0982,21
V026,Velvetbean,Caterpillar,W0361,STA13,STA,0.0554,0.0498,W0364,MIRc1-09,MIR,0.0783,0.0523,22
V027,Velvetbean,Caterpillar,W0289,ARC15,ARC,0.0771,0.0742,W0287,ORB13,ORB,0.0512,0.0195,23
V028,Velvetbean,Caterpillar,W0291,PI566876,Al_USA,0.0534,0.0359,W0290,SAN37-01,SAN,0.1091,0.0466,24
V029,Velvetbean,Caterpillar,W0296,SDS1c,SDS,0.0591,0.0549,W0295,SCAc2-12,SCA,0.1111,0.1024,25
V030,Velvetbean,Caterpillar,W0300,MLR10,MLR,0.0514,0.0202,W0304,HIG05-01,HIG,0.1066,0.0579,26
V031,Velvetbean,Caterpillar,W0301,MEL17,MEL,0.0957,0.0867,W0305,HUE10,HUE,0.1298,0.0614,27
V032,Velvetbean,Caterpillar,W0302,STA14,STA,0.0965,0.0757,W0306,COS11,COS,0.1,0.0596,28
V033,Velvetbean,Caterpillar,W0303,DCR10,DCR,0.0924,0.0827,W0307,CAM11,CAM,0.1173,0.0945,29
V035,Velvetbean,Caterpillar,W0320,EMO10,EMO,0.1371,0.1193,W0321,SAN16-01,SAN,0.1328,0.1208,30
V036,Velvetbean,Caterpillar,W0615,BHI33-12,BHI,0.0261,0.0075,W0614,CRG12,CRG,0.0634,0.0537,31
V037,Velvetbean,Caterpillar,W0620,EMO12,EMO,0.0366,0.0313,W0617,BOL13,BOL,0.0515,0.0493,32
V038,Velvetbean,Caterpillar,W0622,PEA21,PEA,0.0441,0.0075,W0618,FURc1-12,FUR,0.1056,0.0711,33
V039,Velvetbean,Caterpillar,W0634,MLR12,MLR,0.055,0.0193,W0619,CAM13,CAM,0.0825,0.0604,34
V040,Velvetbean,Caterpillar,W0644,SDS2-02,SDS,0.041,0.0283,W0627,RHA13,RHA,0.0727,0.0318,35
V041,Velvetbean,Caterpillar,W0648,PI577391,CA2_USA,0.0354,0.0326,W0623,CVD13,CVD,0.0686,0.0519,36
V042,Velvetbean,Caterpillar,W0649,DCR12,DCR,0.0444,0.0075,W0624,RTM18,RTM,0.048,0.0078,37
V043,Velvetbean,Caterpillar,W0652,MEL20,MEL,0.075,0.0709,W0625,DEB14-02,DEB,0.062,0.0602,38
V044,Velvetbean,Caterpillar,W0772,EMO13,EMO,0.0803,0.0747,W0626,HIG25-02,HIG,0.1061,0.0774,39
V046,Velvetbean,Caterpillar,W0778,PI577392,CA1_USA,0.053,0.0503,W0771,SAN18-01,SAN,0.1161,0.084,40
V047,Velvetbean,Caterpillar,W0780,DCR13,DCR,0.0556,0.0541,W0774,FUSD5,FUS,0.0762,0.0406,41
V049,Velvetbean,Caterpillar,W0790,MLR13,MLR,0.0971,0.0409,W0779,DEB15,DEB,0.0795,0.0429,42
V050,Velvetbean,Caterpillar,W0792,ARC20,ARC,0.0921,0.0458,W0781,RTM19,RTM,0.0516,0.044,43
V051,Velvetbean,Caterpillar,W0272,DCR06,DCR,0.049,0.0381,W0834,CAR08,CAR,0.0875,0.0552,44
V052,Velvetbean,Caterpillar,W0466,DCR04,DCR,0.0435,0.0412,W0446,LIS03,LIS,0.1432,0.0945,45
V053,Velvetbean,Caterpillar,W0467,PAL07,PAL,0.0838,0.0474,W0450,HIG19-01,HIG,0.1103,0.1045,46
V054,Velvetbean,Caterpillar,W0349,BHI33-09,BHI,0.0681,0.0294,W0451,PI493291,Portugal,0.07,0.0658,47
V055,Velvetbean,Caterpillar,W0285,BHI33-10,BHI,0.0344,0.0268,W0452,NARc1-02,NAR,0.0971,0.075,48
V057,Velvetbean,Caterpillar,W0527,DCR14,DCR,0.0433,0.0347,W0525,HIG27-02,HIG,0.0868,0.0638,49
V058,Velvetbean,Caterpillar,W0529,BHI33-14,BHI,0.0357,0.0213,W0528,FURc1-14,FUR,0.0365,0.0173,50
V059,Velvetbean,Caterpillar,W0530,MEL22,MEL,0.0484,0.0031,W0531,HUE14,HUE,0.0575,0.0408,51
V060,Velvetbean,Caterpillar,W0545,SDS2-04,SDS,0.0505,0.0251,W0532,RTM20,RTM,0.0337,0.0203,52
V061,Velvetbean,Caterpillar,W0546,MLR14,MLR,0.0806,0.0803,W0533,SAN18-02,SAN,0.0915,0.0903,53
V062,Velvetbean,Caterpillar,W0549,EMO14,EMO,0.0773,0.044,W0535,ALT14,ALT,0.0741,0.0248,54
V063,Velvetbean,Caterpillar,W0550,PEA22-01,PEA,0.0492,0.0472,W0536,CVD15,CVD,0.0872,0.0486,55
V064,Velvetbean,Caterpillar,W0044,MLR16,MLR,0.0316,0.0157,W0045,DEB18,DEB,0.0607,0.0507,56
V065,Velvetbean,Caterpillar,W0048,EMO15,EMO,0.0336,0.0231,W0046,MUSs1-11,MUS,0.0481,0.0281,57
V066,Velvetbean,Caterpillar,W0050,DCR15,DCR,0.0581,0.0566,W0047,LDSc3-01,LDS,0.0662,0.0596,58
V067,Velvetbean,Caterpillar,W0057,MEL23,MEL,0.0227,0.0182,W0049,CAM16,CAM,0.0311,0.0217,59
V068,Velvetbean,Caterpillar,W0059,BHI33-15,BHI,0.068,0.0472,W0053,SCAc2-18,SCA,0.064,0.0501,60
V069,Velvetbean,Caterpillar,W0070,PEA23,PEA,0.0288,0.0008,W0054,LIS14,LIS,0.0508,0.0254,61
V070,Velvetbean,Caterpillar,W0071,ARC22,ARC,0.0306,0.0203,W0058,HUE15,HUE,0.0676,0.058,62
V071,Velvetbean,Caterpillar,W0073,SDS2-05,SDS,0.0735,0.0646,W0060,CRG15,CRG,0.0452,0.0016,63
S001,Soybean,Looper,W0429,MEL09,MEL,0.06835,0.0638,W0431,HIG02-02,HIG,0.08567,0.0675,1
S002,Soybean,Looper,W0474,RIV11,RIV,0.06448,0.0311,W0458,NARc3-12,NAR,0.04136,0.0236,64
S003,Soybean,Looper,W0258,STA05,STA,0.07524,0.027,W0471,AUR09,AUR,0.07194,0.0692,2
S005,Soybean,Looper,W0822,DCR07,DCR,0.09069,0.0622,W0279,CRG06,CRG,0.05521,0.0313,4
S006,Soybean,Looper,W0443,MAG74,MAG,0.10077,0.0171,W0444,MUSs1-03,MUS,0.03504,0.0175,5
S007,Soybean,Looper,W0238,ARC08,ARC,0.09197,0.0382,W0459,SAN09-03,SAN,0.08811,0.0277,6
S009,Soybean,Looper,W0809,MLR07,MLR,0.07647,0.0709,W0265,AZN06,AZN,0.06365,0.0608,7
S010,Soybean,Looper,W0454,ARC05-01,ARC,0.04999,0.0173,W0453,CAR06-01,CAR,0.07029,0.0601,8
S011,Soybean,Looper,W0241,MEL11,MEL,0.03996,0.011,W0462,FUSB1,FUS,0.05601,0.0134,9
S012,Soybean,Looper,W0828,STA06,STA,0.0915,0.061,W0808,PI319029,Spain,0.04513,0.0395,10
S013,Soybean,Looper,W0270,PEA13,PEA,0.04701,0.0137,W0239,SAN11-02,SAN,0.10492,0.0925,11
S014,Soybean,Looper,W0813,PAL10,PAL,0.04808,0.0334,W0269,W65435,Algeria,0.05923,0.0089,12
S015,Soybean,Looper,W0832,EMO07,EMO,0.12626,0.0864,W0814,RTM08,RTM,0.0728,0.0653,13
S016,Soybean,Looper,W0463,BHI33-04,BHI,0.07295,0.0263,W0455,FURc1-03,FUR,0.0697,0.0181,14
S017,Soybean,Looper,W0244,EMO06,EMO,0.03446,0.0076,W0464,DEB04,DEB,0.03496,0.0076,15
S018,Soybean,Looper,W0280,SDS1-06,SDS,0.0622,0.0145,W0245,ALT06,ALT,0.03021,0.0082,16
S019,Soybean,Looper,W0470,MLR04,MLR,0.11991,0.1079,W0456,MIRc1-04,MIR,0.09573,0.053,17
S020,Soybean,Looper,W0257,MLR06,MLR,0.09426,0.0222,W0465,PI250782,Afghanistan,0.03688,0.0188,65
S021,Soybean,Looper,W0281,PAL09,PAL,0.0506,0.0161,W0255,NARc1-03,NAR,0.07263,0.0184,66
S022,Soybean,Looper,W0818,MEL12,MEL,0.03105,0.0293,W0278,AUR12,AUR,0.07336,0.0443,18
S023,Soybean,Looper,W0845,SDS1-07,SDS,0.06373,0.0151,W0819,DEB08,DEB,0.06559,0.0191,19
S024,Soybean,Looper,W0843,PEA14,PEA,0.02435,0.0042,W0816,SAN12-01,SAN,0.08006,0.0242,20
S025,Soybean,Looper,W0817,BHI33-07,BHI,0.05839,0.0298,W0271,HIG20-01,HIG,0.11696,0.1087,21
S026,Soybean,Looper,W0361,STA13,STA,0.0527,0.0343,W0364,MIRc1-09,MIR,0.062,0.0343,22
S027,Soybean,Looper,W0289,ARC15,ARC,0.0618,0.0533,W0287,ORB13,ORB,0.0586,0.0252,68
S028,Soybean,Looper,W0291,PI566876,Al_USA,0.0554,0.0324,W0290,SAN37-01,SAN,0.1148,0.1008,24
S029,Soybean,Looper,W0296,SDS1c,SDS,0.0568,0.0332,W0295,SCAc2-12,SCA,0.1126,0.0553,25
S030,Soybean,Looper,W0300,MLR10,MLR,0.0528,0.042,W0304,HIG05-01,HIG,0.1263,0.1142,26
S031,Soybean,Looper,W0301,MEL17,MEL,0.1174,0.0607,W0305,HUE10,HUE,0.79,0.0687,27
S032,Soybean,Looper,W0302,STA14,STA,0.0928,0.0463,W0306,COS11,COS,0.1115,0.0867,28
S033,Soybean,Looper,W0303,DCR10,DCR,0.0984,0.0779,W0307,CAM11,CAM,0.1003,0.0708,29
S036,Soybean,Looper,W0615,BHI33-12,BHI,0.0418,0.0342,W0614,CRG12,CRG,0.0642,0.0542,31
