Plate_number,Pair_number,Caterpillar,Native_accession,Invasive_accession,Replicate,Before_wtmg_Native,waterloss_correction_Before_Native,After_wtmg_Native,Diff_wtmg_Native,Prop_wtmg_Native,Before_wtmg_Invasive,waterloss_correction_before_Invasive,After_wtmg_Invasive,Diff_wtmg_Invasive,prop_wtmg_Invasive,Setup_date,WinnerTest
17,5,velvetbean,PI227022,W65505,3,13.5,6.812183063,1.45,12.05,0.892592592592593,12.2,6.156195064,1.41,10.79,0.8844262295,06-15-2022,-0.00816636309259256
18,5,velvetbean,PI227022,W65505,4,9.1,4.591915991,1.9,7.2,0.791208791208791,12.8,6.458958756,0,12.8,1,06-15-2022,0.208791208791209
19,5,velvetbean,PI227022,W65505,1,13.6,6.862643678,2.44,11.16,0.8205882353,12.6,6.358037526,3.52,9.08,0.7206349206,06-15-2022,-0.0999533147
20,5,velvetbean,PI227022,W65505,2,16.9,8.527843983,0,16.9,1,15.8,7.972777215,0.33,15.47,0.9791139241,06-15-2022,-0.0208860759
69,5,soybean,PI227022,W65505,4,14.8,7.468171062,4.1,10.7,0.722972973,12.3,6.20665568,1.92,10.38,0.843902439,06-15-2022,0.120929466
70,5,soybean,PI227022,W65505,2,18.9,9.537056288,0.21,18.69,0.9888888889,16.9,8.527843983,0.32,16.58,0.9810650888,06-15-2022,-0.00782380010000006
71,5,soybean,PI227022,W65505,1,18.8,9.486595673,1.7,17.1,0.9095744681,8,4.036849223,1.3,6.7,0.8375,06-15-2022,-0.0720744681
72,5,soybean,PI227022,W65505,3,10,5.046061528,2.48,7.52,0.752,8.9,4.49099476,2.88,6.02,0.6764044944,06-15-2022,-0.0755955056000001
73,5,soybean,PI227022,W65505,5,16.1,8.12415906,0.43,15.67,0.9732919255,12.6,6.358037526,0.58,12.02,0.953968254,06-15-2022,-0.0193236715
74,5,soybean,PI227022,W65505,6,18.5,9.335213827,0,18.5,1,11.9,6.004813219,0,11.9,1,06-15-2022,0
75,5,soybean,PI227022,W65505,7,28.5,14.38127536,0,28.5,1,16.1,8.12415906,0,16.1,1,06-15-2022,0
76,5,soybean,PI227022,W65505,8,6.9,3.481782454,0.17,6.73,0.9753623188,8.1,4.087309838,0,8.1,1,06-15-2022,0.0246376812
137,17,velvetbean,PI250782,PI368950,1,39.7,20.03286427,5.45,34.25,0.862720403,30.9,15.59233012,10.18,20.72,0.6705501618,06-16-2022,-0.1921702412
138,17,velvetbean,PI250782,PI368950,2,42.2,21.29437965,6.2,36,0.8530805687,30.8,15.54186951,0,30.8,1,06-16-2022,0.1469194313
139,17,velvetbean,PI250782,PI368950,4,31.9,16.09693627,4.33,27.57,0.8642633229,20.6,10.39488675,0,20.6,1,06-16-2022,0.1357366771
140,17,velvetbean,PI250782,PI368950,3,20.2,10.19304429,4.27,15.93,0.7886138614,23.2,11.70686275,4.31,18.89,0.8142241379,06-16-2022,0.0256102765
141,17,soybean,PI250782,PI368950,1,35.8,18.06490027,4.82,30.98,0.8653631285,24.1,12.16100828,0,24.1,1,06-16-2022,0.1346368715
142,17,soybean,PI250782,PI368950,4,25.8,13.01883874,2.78,23.02,0.892248062,16.1,8.12415906,0.42,15.68,0.9739130435,06-16-2022,0.0816649815
143,17,soybean,PI250782,PI368950,2,13.2,6.660801217,0,13.2,1,17.6,8.88106829,0,17.6,1,06-16-2022,0
144,17,soybean,PI250782,PI368950,3,22.8,11.50502028,7.07,15.73,0.6899122807,28.5,14.38127536,2.76,25.74,0.9031578947,06-16-2022,0.213245614
145,17,soybean,PI250782,PI368950,5,18,9.082910751,0.47,17.53,0.9738888889,20,10.09212306,0.06,19.94,0.997,06-16-2022,0.0231111111
146,17,soybean,PI250782,PI368950,6,14.2,7.16540737,0,14.2,1,14.9,7.518631677,0.78,14.12,0.9476510067,06-16-2022,-0.0523489933
147,17,soybean,PI250782,PI368950,7,36.7,18.51904581,3.2,33.5,0.9128065395,23,11.60594151,0,23,1,06-16-2022,0.0871934605
148,17,soybean,PI250782,PI368950,8,17.1,8.628765213,0.7,16.4,0.9590643275,20.2,10.19304429,3.13,17.07,0.845049505,06-16-2022,-0.1140148225
21,6,velvetbean,W65280,PI568952,4,16.9,8.527843983,1.69,15.21,0.9,26.9,13.57390551,2.93,23.97,0.8910780669,06-15-2022,-0.0089219331
22,6,velvetbean,W65280,PI568952,3,16.9,8.527843983,0.18,16.72,0.9893491124,17.7,8.931528905,2.32,15.38,0.8689265537,06-15-2022,-0.1204225587
23,6,velvetbean,W65280,PI568952,2,23,11.60594151,2.75,20.25,0.8804347826,23.7,11.95916582,3.67,20.03,0.8451476793,06-15-2022,-0.0352871033
24,6,velvetbean,W65280,PI568952,1,18.8,9.486595673,0,18.8,1,21.4,10.79857167,2.8,18.6,0.8691588785,06-15-2022,-0.1308411215
77,6,soybean,W65280,PI568952,3,17.4,8.780147059,0.89,16.51,0.9488505747,9.3,4.692837221,2.24,7.06,0.7591397849,06-15-2022,-0.1897107898
78,6,soybean,W65280,PI568952,4,32.2,16.24831812,1.66,30.54,0.948447205,16.3,8.225080291,0,16.3,1,06-15-2022,0.051552795
79,6,soybean,W65280,PI568952,1,49.5,24.97800456,4.53,44.97,0.9084848485,53.3,26.89550795,4.58,48.72,0.9140712946,06-15-2022,0.00558644610000003
80,6,soybean,W65280,PI568952,2,19.9,10.04166244,0.11,19.79,0.9944723618,23.6,11.90870521,2.81,20.79,0.8809322034,06-15-2022,-0.1135401584
81,6,soybean,W65280,PI568952,5,7.1,3.582703685,0.87,6.23,0.8774647887,37.4,18.87227012,15.83,21.57,0.5767379679,06-15-2022,-0.3007268208
82,6,soybean,W65280,PI568952,6,12.4,6.257116295,0.8,11.6,0.935483871,43.3,21.84944642,3.86,39.44,0.9108545035,06-15-2022,-0.0246293675
83,6,soybean,W65280,PI568952,7,15.8,7.972777215,6.33,9.47,0.5993670886,22.4,11.30317782,2.99,19.41,0.8665178571,06-15-2022,0.2671507685
