accession,Range,replicate,number_induced,number_constit,conc.wt_induced,conc.wt_constit
PI227022,Native,1,37,21,65381.75926,25619.1933
PI227022,Native,2,37,21,58286.2037,25910.79148
PI227022,Native,3,37,21,65381.75926,23869.60426
PI250782,Native,1,35,10,55236.77083,80908.10219
PI250782,Native,2,35,10,56733.48958,64127.37226
PI250782,Native,3,35,10,54238.95833,74615.32847
PI368943,Invasive,1,41,24,41762.92593,59900.58608
PI368943,Invasive,2,41,24,35731.7037,115339.4872
PI368943,Invasive,3,41,24,38569.92593,51128.60806
PI368946,Invasive,1,55,18,59485.45918,52219.97033
PI368946,Invasive,2,55,18,59485.45918,49661.78042
PI368946,Invasive,3,55,18,58019.28571,52219.97033
PI368947,Invasive,1,66,27,105028.625,32316.5
PI368947,Invasive,2,66,27,101436.5,31211.23077
PI368947,Invasive,3,66,27,102633.875,27895.42308
PI368949,Invasive,1,39,11,70011.71717,53617.93939
PI368949,Invasive,2,39,11,54046.71717,50134.66667
PI368949,Invasive,3,39,11,55014.29293,50134.66667
PI368950,Invasive,1,42,19,58762.6738,39194.83951
PI368950,Invasive,2,42,19,55689.19786,38485.28395
PI368950,Invasive,3,42,19,59787.16578,38721.80247
PI368957,Invasive,1,52,13,63107.19008,33093.6255
PI368957,Invasive,2,52,13,63898.84298,42634.46215
PI368957,Invasive,3,52,13,59940.57851,32711.99203
PI368958,Invasive,1,53,34,52078.76777,48880.37879
PI368958,Invasive,2,53,34,59342.46445,139590.6061
PI368958,Invasive,3,53,34,52532.74882,47429.01515
PI568952,Invasive,1,40,26,62024.48052,30094.00428
PI568952,Invasive,2,40,26,65134.54545,31529.82869
PI568952,Invasive,3,40,26,62024.48052,30094.00428
W65280,Native,1,36,15,30719.41003,28836.30923
W65280,Native,2,36,15,38913.83481,29075.18703
W65280,Native,3,36,15,31284.54277,27641.9202
W65297,Native,1,57,20,112293.6765,47185.80913
W65297,Native,2,57,20,101024.2647,44403.52697
W65297,Native,3,57,20,106658.9706,46390.87137
W65318,Native,1,47,23,38165.38961,32354.18216
W65318,Native,2,47,23,39098.40909,33778.56877
W65318,Native,3,47,23,41586.46104,28259.07063
W65327,Native,1,54,7,46698.64686,69200.77236
W65327,Native,2,54,7,47014.78548,68811.38211
W65327,Native,3,54,7,50492.31023,64917.47967
W65337,Native,1,43,12,43196.59639,37566.70913
W65337,Native,2,43,12,47812.98193,36956.58174
W65337,Native,3,43,12,54737.56024,37363.33333
W65339,Invasive,1,50,17,83365.63218,50388.41085
W65339,Invasive,2,50,17,87769.77011,58185.27132
W65339,Invasive,3,50,17,83365.63218,50759.68992
W65340,Invasive,1,45,32,36457.1374,20630.17279
W65340,Invasive,2,45,32,36091.52672,21871.51188
W65340,Invasive,3,45,32,35725.91603,21457.73218
W65341,Invasive,1,67,6,50870.59783,54115.70248
W65341,Invasive,2,67,6,58679.56522,51344.91736
W65341,Invasive,3,67,6,51911.79348,57282.31405
W65362,Native,1,46,1,51450.25974,48088.67232
W65362,Native,2,46,1,48340.19481,48900.45198
W65362,Native,3,46,1,50828.24675,48900.45198
W65364,Native,1,64,28,70995.7265,47751.68421
W65364,Native,2,64,28,74270.59829,47247.52632
W65364,Native,3,64,28,68539.57265,47751.68421
W65376,Native,1,59,5,43815.45872,52168.20961
W65376,Native,2,59,5,51724.72477,63462.22707
W65376,Native,3,59,5,49088.30275,49658.42795
W65377,Native,1,63,25,47548.80184,56914.81818
W65377,Native,2,63,25,46224.51613,70412.5
W65377,Native,3,63,25,50638.80184,55608.59091
W65378,Native,1,62,4,60339.7076,31585.20295
W65378,Native,2,62,4,58659.18129,59332.49077
W65378,Native,3,62,4,64260.93567,46607.61993
W65382,Native,1,58,22,60780.45455,53085.12077
W65382,Native,2,58,22,40254.02597,42904.54106
W65382,Native,3,58,22,53938.31169,51696.8599
W65386,Native,1,49,2,52188.13665,43649.35691
W65386,Native,2,49,2,50403.22981,36565.209
W65386,Native,3,49,2,50998.19876,42725.33762
W65396,Native,1,44,9,78750.06289,68782.14912
W65396,Native,2,44,9,75135.34591,75924.38596
W65396,Native,3,44,9,73327.98742,67101.62281
W65424,Native,1,51,3,34121.28609,52491.87179
W65424,Native,2,51,3,33618.45144,52737.48718
W65424,Native,3,51,3,33367.03412,50772.5641
W65505,Invasive,1,56,8,57540.78313,70881.40625
W65505,Invasive,2,56,8,65042.40964,63397.8125
W65505,Invasive,3,56,8,59848.9759,64146.17188
W65517,Invasive,1,48,30,33682.6742,36676.19529
W65517,Invasive,2,48,30,28992.39171,34741.04377
W65517,Invasive,3,48,30,28811.99623,35063.56902
W65518,Invasive,1,38,16,24265.39519,50336.16959
W65518,Invasive,2,38,16,21631.99313,51456.52047
W65518,Invasive,3,38,16,24265.39519,50896.34503
W65535,Invasive,1,61,14,44474.46154,49780.33962
W65535,Invasive,2,61,14,41895.5,44358.26415
W65535,Invasive,3,61,14,40790.23077,47972.98113
W65536,Invasive,1,68,28,49738.94977,18403.286
W65536,Invasive,2,68,28,45364.97717,18208.9858
W65536,Invasive,3,68,28,48426.75799,18403.286
W65548,Invasive,2,60,31,67063.68794,64698.10127
W65548,Invasive,3,60,31,73857.30496,64091.83544
W65548,Invasive,1,60,31,69781.13475,76823.41772
W65586,Native,1,65,33,58754.16382,64142.13992
W65586,Native,2,65,33,56465.66553,61382.7572
W65586,Native,3,65,33,55811.80887,61776.95473
