"Well","Sample","Weight","Replicate","Time","Hour","PCheck","Plate","fileName","values","MatchValue","CtrlVal","ABStrt_ABSctr","AbsFreshWeight","Genotype","Range","Site"
"A01","W0419",0.0569,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.191,"W0419.0hr",0.0459,0.1451,2.55008787346221,"CDCc2-07-01","Native","CDC"
"A02","W0419",0.0569,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.1619,"W0419.0hr",0.0459,0.116,2.03866432337434,"CDCc2-07-01","Native","CDC"
"A03","W0419",0.0569,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.1832,"W0419.0hr",0.0459,0.1373,2.41300527240773,"CDCc2-07-01","Native","CDC"
"A04","W0076",0.0185,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0814,"W0076.0hr",0.0427,0.0387,2.09189189189189,"ARC29","Invasive","ARC"
"A05","W0076",0.0185,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0802,"W0076.0hr",0.0427,0.0375,2.02702702702703,"ARC29","Invasive","ARC"
"A06","W0076",0.0185,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0797,"W0076.0hr",0.0427,0.037,2,"ARC29","Invasive","ARC"
"A07","W0420",0.0123,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.1227,"W0420.0hr",0.0415,0.0812,6.60162601626016,"SAN30-01","Native","SAN"
"A08","W0420",0.0123,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.137,"W0420.0hr",0.0415,0.0955,7.76422764227642,"SAN30-01","Native","SAN"
"A09","W0420",0.0123,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.1294,"W0420.0hr",0.0415,0.0879,7.14634146341463,"SAN30-01","Native","SAN"
"A10","W0077",0.0173,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0913,"W0077.0hr",0.0414,0.0499,2.88439306358382,"DEB30","Native","DEB"
"A11","W0077",0.0173,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0908,"W0077.0hr",0.0414,0.0494,2.85549132947977,"DEB30","Native","DEB"
"A12","W0077",0.0173,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0894,"W0077.0hr",0.0414,0.048,2.77456647398844,"DEB30","Native","DEB"
"B01","W0421",0.0551,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0516,"W0421.0hr",0.0438,0.0078,0.141560798548094,"PI459130","Native","Tur"
"B02","W0421",0.0551,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0512,"W0421.0hr",0.0438,0.0074,0.134301270417423,"PI459130","Native","Tur"
"B03","W0421",0.0551,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0511,"W0421.0hr",0.0438,0.0073,0.132486388384755,"PI459130","Native","Tur"
"B04","W0078",0.0182,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0731,"W0078.0hr",0.0406,0.0325,1.78571428571429,"PI404795","Invasive","Uru"
"B05","W0078",0.0182,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0727,"W0078.0hr",0.0406,0.0321,1.76373626373626,"PI404795","Invasive","Uru"
"B06","W0078",0.0182,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0731,"W0078.0hr",0.0406,0.0325,1.78571428571429,"PI404795","Invasive","Uru"
"B07","W0422",0.0119,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0563,"WO422.0hr",0.0405,0.0158,1.32773109243697,"MUSs2-06","Native","MUS"
"B08","W0422",0.0119,2,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0566,"WO422.0hr",0.0405,0.0161,1.35294117647059,"MUSs2-06","Native","MUS"
"B09","W0422",0.0119,3,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0608,"WO422.0hr",0.0405,0.0203,1.70588235294118,"MUSs2-06","Native","MUS"
"B10","W0079",0.0295,1,0,"0hr","Plate1.csv","Plate1","11POD_0hr_Plate1",0.0845,"W0079.0hr",0.0401,0.0444,1.50508474576271,"LDSc3-11","Native","LDS"
