"Well","Sample","Weight","Replicate","Time","Hour","PCheck","Plate","fileName","values","MatchValue","CtrlVal","ABStrt_ABSctr","AbsFreshWeight","Genotype","Range","Site"
"A01","W0419",0.0569,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0528,"W0419.0hr",0.0444,0.0084,0.147627416520211,"CDCc2-07-01","Native","CDC"
"A02","W0419",0.0569,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0548,"W0419.0hr",0.0444,0.0104,0.182776801405975,"CDCc2-07-01","Native","CDC"
"A03","W0419",0.0569,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0528,"W0419.0hr",0.0444,0.0084,0.147627416520211,"CDCc2-07-01","Native","CDC"
"A04","W0076",0.0185,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0524,"W0076.0hr",0.0433,0.0091,0.491891891891892,"ARC29","Invasive","ARC"
"A05","W0076",0.0185,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0531,"W0076.0hr",0.0433,0.0098,0.52972972972973,"ARC29","Invasive","ARC"
"A06","W0076",0.0185,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0519,"W0076.0hr",0.0433,0.0086,0.464864864864865,"ARC29","Invasive","ARC"
"A07","W0420",0.0123,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0535,"W0420.0hr",0.0446,0.0089,0.723577235772358,"SAN30-01","Native","SAN"
"A08","W0420",0.0123,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.052,"W0420.0hr",0.0446,0.0074,0.601626016260162,"SAN30-01","Native","SAN"
"A09","W0420",0.0123,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0526,"W0420.0hr",0.0446,0.008,0.650406504065041,"SAN30-01","Native","SAN"
"A10","W0077",0.0173,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0544,"W0077.0hr",0.0436,0.0108,0.624277456647399,"DEB30","Native","DEB"
"A11","W0077",0.0173,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0529,"W0077.0hr",0.0436,0.0093,0.53757225433526,"DEB30","Native","DEB"
"A12","W0077",0.0173,3,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0519,"W0077.0hr",0.0436,0.0083,0.479768786127168,"DEB30","Native","DEB"
"B01","W0421",0.0551,1,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0527,"W0421.0hr",0.0447,0.008,0.14519056261343,"PI459130","Native","Tur"
"B02","W0421",0.0551,2,0,"0hr","Plate1.csv","Plate1","PPO_0hr_plate1_7-21-17",0.0524,"W0421.0hr",0.0447,0.00770000000000001,0.139745916515427,"PI459130","Native","Tur"
